Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Kopdar Pengusaha Teh,Bisnis,"Jl. Raya Kledokan No.12, Tempel, Caturtunggal, Kec. Depok, Sleman",DI Yogyakarta,chai tea kledokan,01-Oct-2023
Kopdar Komunitas Barongsai,Musik,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta",Surakarta,Orient Restaurant,30-Sep-2023
KOPDAR PECINTA TARI DAERAH,Musik,"Jl. Sriwijaya No.29 A, Wonodri, Kec. Candisari, Kota Semarang, Jawa Te",Semarang,WARKOP MBA LONDO,29-Sep-2023
Kopdar Batik lovers,Education,"Jl. Adi Sumarmo, Klodran Indah, Klodran, Kec. Colomadu, Karanganyar",Karang Anyar,Loske Cafe,24-Sep-2023
Kopdar Pengerajin Batik,Education,"Jl. Gondosuli No.125, Laweyan, Kec. Laweyan, Kota Surakarta",Surakarta,Saudagar Laweyan,24-Sep-2023
Kopdar Pecinta Kultur Jepang,Education,"Jl. Ir. Sutami No.32, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah",Surakarta,Almamater Coffee & Eatery,24-Sep-2023
Kopdar Tea Lovers,Lainnya,"Jl. Banjarsari No.14, Tembalang, Kec. Tembalang, Kota Semarang",Semarang,Dontea Semarang,24-Sep-2023
Kopdar Pecinta Pohon,Education,"Jl. Dr. Wahidin No.15 A, Penumping, Kec. Laweyan, Kota Surakarta",Surakarta,Cold 'N Brew Wahidin,24-Sep-2023
Kopdar Penikmat Sushi,Lainnya,"Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang",Semarang,De'Sushi,23-Sep-2023
Kopdar Japan Manga Lover,Education,"Jl. K.S. Tubun No.22, Manahan, Kec. Banjarsari, Kota Surakarta",Surakarta,So Ramen,22-Sep-2023
Kopdar Anime Lovers,Education,"Jl. Raya Baturan, Klemburan, Baturan, Kec. Colomadu, Karanganganyar",Karang Anyar,Unknown Coffee,22-Sep-2023
Kopdar K Waver,Musik,"Jl. Ronggowarsito No.171, Timuran, Kec. Banjarsari, Kota Surakarta",Surakarta,Butler Coffee Boutique,21-Sep-2023
Kopdar Wagyu Lovers,Lainnya,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang",Semarang,Hotel Tentrem,21-Sep-2023
Kopdar Komunitas Pecinta Sejarah,Bisnis,"Jl. Sisingamangaraja No.21, Candi, Kec. Candisari, Semarang",Semarang,Cafe Coco Madeleine,17-Sep-2023
[E-Ticket] Seminar dan pelatihan Komunitas Pengrajin Cinderamata BALI,Education,"Jl. Pantai Kuta No.18, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Bali,Banjar Pande Mas Kuta,16-Sep-2023
Kopdar Komunitas Barongsai,Musik,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta",Surakarta,Orient Restaurant,09-Sep-2023
Kopdar Pecinta Komik,Lainnya,"Jl. Pepaya 6, Klodran Indah, Klodran, Kec. Colomadu, Karanganyar",Karang Anyar,Bento Kopi Klodran,09-Sep-2023
Kopdar Mural Club,Education,"Jl. Kahuripan Timur 3 No.19, Sumber, Kec. Banjarsari, Kota Surakarta",Surakarta, Tenda Daun Solo,09-Sep-2023
K-Pop Love Party,Musik,"Jl. Ir. SoekarnoI, Madegondo, Kec. Grogol, Kabupaten Sukoharjo",DI Yogyakarta,Pakuwon Mall Basement,31-Aug-2023
Kopdar Penikmat Sushi,Budaya,"Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang",Semarang,De'Sushi,30-Aug-2023
Kopdar Wagyu Lovers,Budaya,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang",Semarang,Hotel Tentrem,30-Aug-2023
Kopdar Tea Lovers,Budaya,"Jl. Banjarsari No.14, Tembalang, Kec. Tembalang, Kota Semarang",Semarang,Dontea Semarang,29-Aug-2023
Manfaat olahraga push up harian,Olahraga,"Jl. Ambon No.11-15, Citarum, Kec. Bandung Wetan, Kota Bandung",Bandung,Saparua Sports Complex,09-May-2024
OTS - Grand Final Yuasa Stand Up Bolahraga League Season 3,Musik,"Jl HR Rasuna Said 22 Kavling C, RT2/RW.5,Karet Kuningan, Kec Setiabudi",Jakarta Selatan,Usmar Ismail Hall,28-Mar-2024
Early Bird - Grand Final Yuasa Stand Up Bolahraga LeagueÂ SeasonÂ 3,Musik,"Jl HR Rasuna Said 22 Kavling C, RT2/RW.5,Karet Kuningan, Kec Setiabudi",Jakarta Selatan,Usmar Ismail Hall,28-Mar-2024
Memperhatikan Asupan Gizi Ketika Olahraga Sesi 4,Education,"Jl. Padat Karya No.212, Cibeber, Kec. Cimahi Sel., Kota Cimahi,",Jawa Barat,Inaka Coffee,30-Nov-2023
Memperhatikan Asupan Gizi Ketika Olahraga,Olahraga,"Jl. Padat Karya No.212, Cibeber, Kec. Cimahi Sel., Kota Cimahi,",Jawa Barat,Inaka Coffee,25-Nov-2023
Kursus Olahraga dan Aktivitas Fisik untuk Anak,Lainnya,Jl. Gagak Hitam No. 14 Medan,Medan,Saka Hotel,22-Nov-2023
